steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
1144	12	3.846283197402954	76.40662334253435	77.05744275777451	23.858171730360045	117.6049701133463	36.95192404361686	-6.9809003	2.1323797369003294	1144	645	1144
2144	17	8.983490467071533	-0.8762284101327329	1.7263149350517877	15.954922255094077	22.989477865425275	-26.212089894011907	-1.9993873	1.293206960260868	2144	1645	2144
3093	22	14.02022671699524	14.438439834680537	14.008133044137766	22.019878488954923	49.515519755362824	-13.069628787215676	0.74443114	1.2748466005921364	3093	2594	3093
4093	27	18.62606167793274	16.922304060776796	16.52972908289967	15.825919399294065	42.97371519882825	-4.871157423134405	1.9143145	0.8328502470254898	4093	3594	4093
5189	33	24.066749572753906	-12.38579749307831	-10.004498200649538	24.554084474239442	18.470746141717722	-55.20803223434686	2.9468355	0.8894488185644149	5189	4690	5189
6189	38	28.85084366798401	21.597353072590824	14.890911494460095	42.02364372245518	119.17532407894358	-35.98356733664389	3.18665	1.0277756759524346	6189	5690	6189
7189	43	33.59689140319824	22.33575667290353	31.828114029838055	25.141491008627415	54.85479166161822	-8.867065333029544	3.1662261	0.7758581700921059	7189	6690	7189
8189	48	38.740617990493774	13.380535412543171	14.215985551303365	22.104133910073962	48.011318598885936	-17.689570277714502	3.1007853	0.7298825469613075	8189	7690	8189
9189	53	43.99472975730896	14.419183254457257	13.597444255924858	26.850091165362883	60.76267394379279	-25.710938403884324	3.0182915	0.6955377608537674	9189	8690	9189
10189	58	48.93297719955444	26.036695297419918	19.834187099344064	22.169056807905505	85.5800774960645	8.941493325204835	3.357544	0.7568789932131768	10189	9690	10189
11189	63	53.758039474487305	27.732293867096878	33.487161483620774	16.60921611253194	43.40370739762393	-10.882426247958985	2.7247949	0.6899966660141945	11189	10690	11189
12189	68	58.70185685157776	17.37404367544885	17.50122068272949	14.762558631781593	44.09384512001276	-2.749449496708693	3.3426204	0.7932110702991486	12189	11690	12189
13189	73	63.26365423202515	45.16399468792483	46.576440419640065	18.140733547527198	73.53507307477783	16.02980810256907	3.423277	0.8181026580929757	13189	12690	13189
14189	78	68.30123734474182	21.128253479667844	15.755015780054068	22.24170670304814	64.16437678842456	-2.739382065298323	4.194608	0.6929881100356579	14189	13690	14189
15189	83	73.36154580116272	19.767794661199243	23.961974636732066	18.659797868897513	49.965712226709954	-11.715048906550148	4.1026435	0.5901387152075768	15189	14690	15189
16189	88	78.45059037208557	16.695166422733674	24.193461980749483	29.08068334505774	57.372488793698324	-23.68706956491272	4.753697	0.6401522448658943	16189	15690	16189
17189	93	83.540114402771	19.07977702108305	18.262685250313663	15.989365804916591	42.72034437396059	-9.526772370023492	3.5616057	0.6134416702389717	17189	16690	17189
18189	98	88.00357842445374	23.270448908923925	27.554112207968846	23.60527736054876	59.9107147246265	-15.162974354148814	3.6758437	0.7681421676278114	18189	17690	18189
19177	103	92.0038537979126	21.824527837930916	21.148905592209893	23.2565261440593	69.43953589085869	-7.759075275714662	3.6759233	0.59319332331419	19177	18678	19177
20177	108	96.5202112197876	12.228537390832336	6.654728677224846	23.915289649111724	50.74304265810362	-21.574827238761475	3.3702106	0.5334740057587624	20177	19678	20177
21177	113	101.72845935821533	17.647017945399135	21.989894477974893	23.52373453226437	54.69799619273226	-22.22513812029123	4.0062013	0.6518763619661331	21177	20678	21177
22077	118	106.28769302368164	11.723803604387571	13.989461926068632	19.720115067167963	34.30310565302394	-21.05148408450849	4.700975	0.6133175265789031	22077	21578	22077
23077	123	111.25900220870972	23.95675105732097	22.9675355701634	19.95397827062934	61.69538486315432	-8.268328650939855	4.067139	0.4793424156308174	23077	22578	23077
24077	128	115.96524381637573	16.092573738793245	19.131261097706883	16.880406587860666	38.90072683159393	-9.838129885318239	4.106741	0.5539865449070931	24077	23578	24077
25040	133	120.86901521682739	5.147067741465216	7.840979893139091	19.87447244604139	41.27215650066199	-31.188620078040152	4.3518057	0.5720882084965706	25040	24541	25040
26040	138	126.10862350463867	25.827078387700908	23.490965345111455	20.6826776257007	64.50361074994754	-3.9896235326828497	4.038779	0.573480279147625	26040	25541	26040
27011	143	131.1616837978363	8.886423062365276	9.020066746248045	16.058819577771683	32.55960438704067	-19.060429428699027	4.54797	0.5308298537135124	27011	26512	27011
28011	148	136.57261514663696	18.74115858952288	20.730029734359565	23.913047210447367	47.284191233675706	-16.075149816814463	3.4996493	0.6266556860506535	28011	27512	28011
29011	153	141.63780665397644	13.853908482756085	19.88089314879218	26.459861255519808	63.355226406367876	-27.415901618057642	3.4722986	0.5035651363432407	29011	28512	29011
30178	159	147.03398299217224	30.34904459610553	42.795346177122	25.490567591233102	51.41039823902153	-21.823622714881118	3.7743087	0.4982056051492691	30178	29679	30178
31178	164	152.65066814422607	13.46758097487017	13.1485999108357	18.163256124658464	38.38896394068837	-9.810726633180192	3.8346233	0.43574379205703734	31178	30679	31178
32178	169	157.9743857383728	10.423332153395794	9.354764830633194	22.184541046799872	45.64060608486415	-15.41559543234218	4.3984504	0.45729269966483116	32178	31679	32178
33178	174	163.21070742607117	4.920226047268763	6.3473245309850475	33.07518771999434	53.519580381150405	-39.05815700498695	2.4319077	0.4369488675892353	33178	32679	33178
34178	179	168.54812669754028	12.426818600409709	12.448182716813754	25.347723873813628	66.55526250577634	-26.810570154028714	3.7829115	0.5182815285027027	34178	33679	34178
35177	184	173.7858021259308	6.851496402865362	20.3080491479626	46.49623928861804	37.68397441972895	-116.20328331388991	3.287047	0.4720433294773102	35177	34678	35177
36177	189	179.1156783103943	24.49895165603958	28.28099059561552	23.384824833115477	59.44364730054724	-5.915966009686736	3.7059996	0.5644073623418808	36177	35678	36177
37177	194	184.31932044029236	28.23566217989405	30.326213434386567	18.50333962446031	60.99975233397862	5.828081577251251	3.6232278	0.4012169608473778	37177	36678	37177
38177	199	189.2552490234375	16.04089448103283	18.441005362069177	20.432819896129306	44.081953009426535	-11.767176366115478	3.565959	0.6701370044052601	38177	37678	38177
39177	204	194.13252544403076	18.90948913299962	12.618483880657351	25.096341255223262	65.71074916125856	-7.969125379483269	4.357703	0.48524915471673014	39177	38678	39177
40177	209	198.8124897480011	21.687636717942375	21.04561081250663	17.68408573864833	48.58067644534516	-8.37184017085744	3.5340233	0.480659137070179	40177	39678	40177
41177	214	203.7009584903717	16.167824247707443	19.51221200522631	20.049959378809714	38.201634299185706	-30.11923645312773	3.35904	0.3892571033537388	41177	40678	41177
42177	219	208.62599635124207	23.321298810142157	28.55687841388268	17.16806706781233	47.93844818340499	-0.27782300650818054	3.730044	0.44534104645252226	42177	41678	42177
43177	224	213.34060645103455	1.9056192737576714	13.084637575188967	42.2680247295978	36.75022985439301	-107.90850109031093	3.8617423	0.4316549354791641	43177	42678	43177
44121	229	217.90164971351624	20.81870572344216	15.610616083397442	20.863579589209294	54.04734930320588	-10.881171198582122	3.734089	0.4614583867788315	44121	43622	44121
45121	234	222.75505685806274	6.406579803401264	1.140613433636379	26.522875055563087	51.533781932017284	-28.3338829634592	4.825924	0.4707739670574665	45121	44622	45121
46121	239	228.01685214042664	7.6694736742526874	0.5581150588580281	24.060985036525434	47.20470827503662	-20.8555499752498	3.889301	0.42648818969726565	46121	45622	46121
47121	244	233.17591786384583	7.66872632215579	6.817519476297085	21.50251892590338	44.67869850574869	-18.789401237222428	3.023431	0.4141846126317978	47121	46622	47121
48121	249	238.32545971870422	26.911098724340423	28.767735258019222	30.800039832987164	65.62599842715564	-23.6827041942486	3.6852808	0.40635244458913805	48121	47622	48121
49121	254	243.43207669258118	10.796098891678252	9.927202037007797	24.89467487877831	48.13774348776475	-27.577481015510273	3.8202114	0.42276876881718634	49121	48622	49121
50000	259	247.87922382354736	19.774292421828562	16.377408624921905	19.439699550187346	47.82117914388993	-12.235866581650722	4.139629	0.4680869360268116	50000	49501	50000
